address_1,address_2,label
"Rua Miguel Bombarda, 76, Fuzeta, 8700-037","rwua miguel bombarqda, 76, Fuzeta",1
"Rua do Norte, 15, Chancelaria, 7440-201","Rua Dona Maria José Pires dos Santos, 10, Chancelaria, 7440-201",0
"Rua de Cucujães, 543, São João da Madeira, 3700-096","de r cucujães, 543, São João da Madeira",1
"Rua 25 de Abril, 77, Cruz de Pau, 2845-137","Rua 25 de Abril, 77, 2845-137",1
"Rua de São Bento, 19, Flor da Rosa, 7430-217","Rua Dom Nuno Álvares Pereira, 14, Flor da Rosa, 7430-221",0
"Travessa da Rua do Bernardino, 3, Montalvão, 6050-431","Rua do Bernardino, 8, Montalvão, 6050-431",0
"Rua das Oliveiras, 14, Tavira, 8800-356","Rua Doutor Silvestre Falcão, Lote 4, Tavira, 8800-412",0
"Rua da Soledade, 9, Évora, 7005-373","Largo da Porta de Moura, 37, Évora, 7000-647",0
"Rua Miguel Bombarda, 10, Vila Real, 5000-625","r miugelbombarda, 10, Vila Real, 5000-625",1
"Rua Nova do Parreiral, 28, Sousel, 7470-265","Rua Nova do Parreiral, 28, 7470-265",1
"Rua da Lagoa, 6, Selmes, 7960-161","riua dalagoa, 6, Selmes, 7960-161",1
"Rua do Forno, 6, Ulme, 2140-375","Rua José Marques Martinho, 2, Ulme, 2140-365",0
"Travessa do Antigo Caminho da Glória, 13, Estremoz, 7100-135","Rua Batalha do Ameixial, 11, Estremoz, 7100-115",0
"Rua Monte Forca, N 65, Vila Boa De Quires, 4635-751","Rua Monte Da Forca, 46, Vila Boa De Quires, 4635-751",0
"Rua 25 de Abril, 13, Amareleja, 7885-025","Rua 25 de Abril, 13, 7885-025",1
"Rua Joaquim Pedro Matos, 49, Cabrela, 7050-423","r jaoquim pedro matos, 49, Cabrela, 7050-423",1
"Rua de Regadas, 13, Ribeirão, 4760-723","r de regdaas, 13, Ribeirão",1
"Avenida Bento Gonçalves, 21B, Setúbal, 2910-433","Avenida Bento Gonçalves, 130, Barreiro, 2830-333",0
"Rua Urbanização Mourasol, 15, Moura, 7860-356","Rua Engenheiro Armando Almeida Manso, 1, Moura, 7860-004",0
"Rua António Soares, 27, Charneca de Caparica, 2820-039","Rua Alagoa, 5, Charneca de Caparica",0
"Estr. de Benfica, 654, Lisboa, 1500-109","Estrada de Benfica, 422, Lisboa, 1500-102",0
"Rua 25 de Abril, 3, Pereiras-Gare, 7665-881","ra 25 de avbril, 3, Pereiras-Gare, 7665-881",1
"Rua Palheiros, 73, Calheta, 9370-054","r palheiros, 73, Calheta, 9370-054",1
"Estrada da Ponte, 2, Amadora, 2610-141","Estrada da Ponte, 2, Alfragide, 2610-141",0
"Cais da Ribeira, 36, Porto","Rua Padre Manuel da Nóbrega, 111, Porto, 4350-226",0
"Rua Almeida Garrett, 7, Ervedal, 7480-288","Rua Almirante Cândido dos Reis, 8, Ervedal, 7480-289",0
"Rua do Bicalho, 29, Porto, 4150-139","Rua Padre Manuel da Nóbrega, 111, Porto, 4350-226",0
"Rua Garibaldino Andrade, Foros do Arrão de Baixo, 7425-208","Rua 19 de Maio, 16, Foros do Arrão de Baixo, 7425-224",0
"Rua Capitão Manuel Baptista Marçal, 39, Santa Luzia, 8800-545","r capitão manel baptista marçal, 39, Santa Luzia",1
"Rua 1º de Maio, 11, Barrancos, 7230-043","Rua Doutor Leite Vasconcelos, 1, Barrancos, 7230-014",0
"Avenida Professor Rui Luís Gomes, Almada, 2814-504","Avenida 25 de Abril, 36A, Almada, 2800-299",0
"Rua da Estação, Rio de Moinhos, 7150-368","r da estação, Rio de Moinhos",1
"Beco Pomar, 13, Funchal, 9060-242","beco pomar, 13, Funchal",1
"Estrada da Santíssima Trindade, 24, Tabua, 9350-412","estrada trindade sanktíssima da, 24, Tabua",1
"Rua António Feliciano de Castilho, 36, Ferreira do Alentejo, 7900-581","Rua da República, 47, Ferreira do Alentejo, 7900-609",0
"Praça da India, 3, Santa Clara-a-Velha, 7665-880","Praça da India, 3, Santa Clara-a-Velha",1
"Travessa nº 2 da Fonte da Preguica, 20, Coimbra, 3045-167","Travessa nº 2 da Fonte da Preguiça, 14, Coimbra, 3045-410",0
"Rua das Albardeiras, 4, Fronteira, 7460-118","Rua de Avis, 43, Fronteira, 7460-120",0
"Rua Marquês de Pombal, 15, Alcácer do Sal, 7580-166","r marquês de opmbal, 15, Alcácer do Sal, 7580-166",1
"Travessa da Escola, 1, Odivelas, 7900-402","Rua da Fonte, 2, Odivelas, 7900-382",0
"Cais de São Roque, 76A, Aveiro, 3800-256","Cais de São Roque, Glória e Vera Cruz, 3810-256",0
"Rua Doutor Vitorino de Sá, 2, Santa Maria da Feira","Largo de Camões, 35, Santa Maria da Feira",0
"Rua de Chaimite, 11, Coimbra, 3030-048","Rua António Augusto Gonçalves, Coimbra, 3041-901",0
"Rua do Poço Novo, Santana da Serra, 7670-613","Rua Ema Martins Coelho Borges Gago, 5, Santana da Serra, 7670-613",0
"Rua de Moçambique, 6A, Reguengos de Monsaraz, 7200-351","Rua de Moçambique, 6A, Reguengos de Monsaraz",1
"Rua Teófilo Saguer, 32, Grândola, 7570-311","ru ateófilo saguer, 32, Grândola",1
"Estrada Pipa, 9, Pias, 7830-287","estrada pipa, 9, Pias",1
"Rua Quinta de São Pedro, 8, Quinta da Marialva","r quinta de são pedro, 8, Quinta da Marialva",1
"Estrada Marmeleiros, 114 A, Funchal, 9050-209","Estrada dos Marmeleiros, Funchal, 9000",0
"Praceta das Roiçadas, Amadora, 2700-715","Avenida do Movimento das Forças Armadas, 14, Amadora, 2700-596",0
"Rua Particular à Rua Cima de Fanares, 1, MEM MARTINS, 2725-412","r particular à rua cima de fanares, 1, MEM MARTINS",1
"Caminho Lombada Dos Marinheiros, 6, Calheta, 9370-380","Caminho Lombada Marinheiros, 1, Calheta, 9370-380",0
"Rua da Culatra, 50, Olhão, 8700-391","culatra daa ru, 50, Olhão",1
"Rua Aquilino Ribeiro, 25, Grândola, 7570-188","rbieiro aquilino r, 25, Grândola",1
"Rua das Alcaçarias, 23A, Évora, 7000-587","Rua das Alcaçarias, 23A, 7000-587",1
"Rua 1º de Maio, 13, Santa Iria, 7830-304","Estrada da Mina de São Domingos, 29, Santa Iria, 7830-304",0
"Rua da Cruz Nova, LT 17, Coimbra, 3020-170","Travessa dos Combatentes da Grande Guerra, 23, Coimbra, 3030-182",0
"Rua do Poço, 12, Seda, 7440-225","ru advo poço, 12, Seda, 7440-225",1
"Rua Fernão Mendes Pinto, 3, Setúbal, 2910-774","Rua Engº Ferreira Dias - (EN 10 Vale do Cobro), Setúbal, 2910-000",0
"R Barragem, 970, Torrão Mcn, 4575-322","R S Clara Do Torrao, 429, Torrão Mcn, 4575-337",0
"Rua Doutor Alves Durão, 13, São Marcos do Campo, 7200-072","Rua Doutor Alves Durão, 13, São Marcos do Campo",1
"Avenida Dom José I, 71, Amadora, 2720-177","av bdom joés i, 71, Amadora, 2720-177",1
"EN261-2, 11, Melides","Estrada Nacional 261-2, 8, Melides, 7570-610",0
"Rua do Roluto, 13, Fortios, 7300-677","do r roltuo, 13, Fortios",1
"Caminho Breja de Cima, 18, Bunheiro, 3870-013","Caminho Breja de Cima, 18, Bunheiro",1
"Rua Acácio Guerreiro de Melo, 7, Cercal do Alentejo, 7555-109","Rua Acácio Guerreiro de Melo, 7, Cercal do Alentejo",1
"Rua da Boavista, 24, Pedrogão, 7960-035","Rua Doutor Aresta Branco, 9, Pedrogão",0
"Rua Elias Garcia, 32, Cabeção, 7490-095","Rua Elias Garcia, 32, 7490-095",1
"Largo de Noêda, 6, Porto, 4300-211","Rua de Sampaio Bruno, 11, Porto, 4000-440",0
"Rua 18 de Julho de 1634, 36, Figueira da Foz, 3080-437","Rua do Mar, Figueira da Foz, 3090-880",0
"Av. de Roma, Lisboa, 1000-300","Rua Jorge de Sena, Lisboa, 1750-129",0
"Rua 25 de Abril, 10, Santa Eulália, 7350-451","Rua dos Combatentes da Grande Guerra, 16, Santa Eulália, 7350-451",0
"Rua João Cutileiro, Évora, 7005-206","Rua do Cano, 43, Évora, 7000-596",0
"Largo da Calçadinha, 17, Nossa Senhora da Graça de Póvoa e Meadas, 7320-011","largo da calaçdinha, 17, Nossa Senhora da Graça de Póvoa e Meadas",1
"Estrada Monumental 456-5, Funchal, 9000-250","Estrada Monumental, 194, Funchal",0
"Estrada João Gonçalves Zarco, 472, Câmara de Lobos, 9300-167","Estrada João Gonçalves Zarco, 472, 9300-167",1
"Travessa da Mina, 3, Castro Verde, 7780-183","Rua Combatentes da Grande Guerra, 13, Castro Verde, 7780-152",0
"Rua do Pocinho, 2, Ervidel, 7600-233","popcinho do r, 2, Ervidel",1
"Rua Jacob Azambuja, 56, Setúbal, 2910-535","azabmuja jacob r, 56, Setúbal",1
"Rua Praça da Liberadde, 1, Castro Verde, 7780-286","Praça Municipio, 1, Castro Verde, 7780-217",0
"Rua Comandante Matoso, 76, Sagres, 8650-357","Rua Comandante Matoso, 4, Vila do Bispo, 8650-413",0
"Rua Central, 31, Valpaços, 5445-084","r czntral, 31, Valpaços",1
"Rua da Escola Primária, Viana do Castelo, 4900-726","Praça Doutor António Feio Ribeiro da Silva, Viana do Castelo, 4900-557",0
"Rua Eiradinhos, 4, Beringel, 7800-817","Rua Nova, 1, Beringel, 7800-852",0
"Rua Antonio Procoro Macedo Junior, 58 H, Câmara de Lobos, 9325-018","Rua Antonio Procoro Macedo Junior, 58 H, 9325-018",1
"Vereda Lombada, 5, Calheta, 9370-705","Vereda Lombada, 5, 9370-705",1
"Estrada Eira Serrado, 41 B, Funchal, 9020-156","Estrada Eira Do Serrado, 58, Funchal, 9020-156",0
"Travessa Mirante, 8, Setúbal, 2910-610","Travessa do Mirante, 21, Setúbal, 2910-610",0
"Vereda Fonte Da Escadinha, 1, Calheta, 9370-722","Vereda Fonte, 3, Calheta, 9370-060",0
"Rua Netos, Funchal, 9000-084","r netos, Funchal",1
"Rua Chefe António Afonso, 15, Tavira","Rua da Atalaia, 1, Tavira, 8800-378",0
"Rua dos Bombeiros Voluntários, 410, São João da Madeira, 3700-066","r dos volnutáreios bombeiros, 410, São João da Madeira",1
"Estrada de Tornada, Tornada, 2500-315","Estrada de Tornada, Tornada",1
"Rua Almada Negreiros, Lote 548, Fernão Ferro, 2865-409","r negreiors almakda, Lote 548, Fernão Ferro",1
"Rua Álvaro Cunhal, 2, Coimbra, 3040-350","Rua António Augusto Gonçalves, Coimbra, 3041-901",0
"Rua do Orfeão de Ovar, 92, Ovar, 3880-184","de do orfeão ura ovar, 92, Ovar, 3880-184",1
"Travessa do Monteco, 5, São Pedro do Corval, 7200-107","Rua do Poço, 2, São Pedro do Corval, 7200-137",0
"Caminho Lourencinha, 55, Câmara de Lobos, 9300-092","cainho lourencinha, 55, Câmara de Lobos",1
"Rua Professor Roque Duarte, Pó, 2540-491","r proefssor duarte roque, Pó",1
"Rua da Areeira, 34, Arrouquelas, 2040-031","Rua da Areeira, 21, Tentúgal, 3140-565",0
"Rua do Viveiro, 11, Évora, 7005-638","Rua do Viveiro, 11, Évora",1
"Bairro Oriental, LT 23, Ermidas-Sado, 7565-258","Rua Oriental do Pomarinho, 10, Ermidas-Sado, 7565-211",0
"Rua dos Paralelos, 25, Pardo, 6050-454","Rua dos Paralelos, 35, Tolosa, 6050-508",0
"Praceta das Tílias, 65, Maia, 4470-379","Praceta das Acácias, 27, Maia, 4470-223",0
"Rua do Século, 31, Rosário, 7250-203","Rua dos Eucaliptos, 1, Rosário, 7700-235",0
"Rua do Depósito de Água, 4, São Sebastião, 2040-494","Rua do Depósito de Água, 13, S. Sebastião, 2040-494",0
"Rua do Zambeze, 2A, Lisboa, 1990-069","Rua Professor João Barreira, 1/3, Lisboa, 1600-635",0
"Largo São Sebastião, 3, Vimioso, 5230-311","Largo São Sebastião, 18, Faro, 8000-155",0
"Rua Serpa Pinto, 74, Odemira, 7630-174","serpa ru pitno, 74, Odemira",1
"Cam Picao, 27, Vila Boa Do Bispo, 4625-680","Cam Quebrada De Cima, 183, Vila Boa Do Bispo, 4625-617",0
"Entrada N 1 Do Caminho De s João, 1, Câmara de Lobos, 9300-150","Entrada N 1 Do Caminho De s João, 1, 9300-150",1
"Rua da Independência, 14, Águas de Moura, 2965-574","Rua da Independência, 14, 2965-574",1
"Rua do Termo, Lomba da Fazenda, 9630-122","Rua do Teatro, Lomba da Fazenda, 9630-086",0
"Rua de Mortágua, Figueira da Foz, 3080-892","Rua Fernando de Almeida Rocha, 42, Figueira da Foz",0
"Rua do Castelo, 9, Póvoa de São Miguel, 7885-268","r do castelo, 9, Póvoa de São Miguel, 7885-268",1
"Rua Luís de Camões, 12, Nossa Senhora das Neves, 7800-651","r luís de camões, 12, Nossa Senhora das Neves, 7800-651",1
"Rua de Cândido dos Reis, 36, Porto, 4050-151","Rua Cândido dos Reis, 81, Porto, 4050-152",0
"Rua da Juventude, 42, Ponta Delgada, 9500-211","Rua da Juventude, 42, Ponta Delgada",1
"Travessa Laranjal, 21, Funchal, 9020-362","traveshsa alranjal, 21, Funchal",1
"Rua Arrabalde do Meio, 12, Terrugem, 7350-491","Rua do Beco, 1, Terrugem, 7350-491",0
"Largo das Olarias, 1, Amieira do Tejo, 6050-134","Largo das Olarias, 2, Coimbra, 3000-243",0
"Rua do Passo, 9S, Cedros, 9900-341","do r passo, 9S, Cedros, 9900-341",1
"Rua das Paias, 8, Veiros, 7100-697","Rua das Paias, 8, Veiros",1
"R. Antero de Quental, 41-43, Loulé, 8100-538","Avenida Andrade de Sousa, Edifício A Bloco B Cave e R/C LOULE, Edifício A Bloco B Cave e R/C, Loulé, 8100-728",0
"Rua Geraldo e Casquinha, 15, Setúbal, 2910-292","gerado r e casquinha, 15, Setúbal, 2910-292",1
"Rua dos Capitães de Abril, 36, Sines, 7520-205","r dos de caitães abril, 36, Sines, 7520-205",1
"Rua das Cancelas, LT 6, Almeirim, 2080-084","rd cancelas as, LT 6, Almeirim, 2080-084",1
"Rua do Posto Médico, 25, Guadalupe, 7000-222","rdo posto médcio, 25, Guadalupe",1
"Rua B, 32 34, Estremoz, 7100-054","Rua Batalha do Ameixial, 11, Estremoz, 7100-115",0
"Rua Armando Antunes da Silva, 9, Évora, 7005-145","Rua A, 5, Évora, 7005-283",0
"Avenida 25 de Abril, 84, Ílhavo (São Salvador), 3830-044","Avenida 25 de Abril, 11, Estremoz, 7100-105",0
"Rua 5 de Outubro, 58, Arronches, 7340-014","Rua 5 de Outubro, 58, Arronches",1
"Avenida Infante Dom Henrique, 89, Elvas, 7350-100","Avenida do Dia de Portugal - 10 de Junho de 2013, 39, Elvas, 7350-215",0
"Rua da Cadeia Velha, 5, Nisa, 6050-374","Rua da Cadeia Velha, 5, 6050-374",1
"Rua do Vale, 7, Pedrogão, 7960-049","ru vale do, 7, Pedrogão",1
"Cam Rosso, Vila Boa Do Bispo, 4625-712","Cam Quebrada De Cima, 183, Vila Boa Do Bispo, 4625-617",0
"Rua Arsénio Catuna, 24, Albufeira, 8200-633","Rua Victória, 1, Albufeira, 8200-395",0
"Estrada das Apolinárias, Beja, 7800-050","Estrada das Apolinarias, Beja, 7800-050",0
"Rua do Sobreirinho, 3, Salavessa, 6050-465","Rua do Sobreirinho, 3, Salavessa",1
"Rua Joao Deus, 17, Castro Verde, 7780-195","Rua João de Deus, 7, Castro Verde, 7780-195",0
"Rua Augusto César Oliveira Tavares, 3, Portalegre, 7300-126","Rua 31 de Janeiro, 6, Portalegre, 7300-211",0
"Rua Francisco Xara, 8, Campo Maior, 7370-113","Rua Francisco Xara, 8, 7370-113",1
"Rua dos Ferragiais, 13, Alter do Chão, 7440-088","Rua do Mártir, 19, Alter do Chão, 7440-071",0
"Avenida Doutor António Fonseca, 1600, Vale de Cambra, 3730-239","doutor avenia antónio fonseca, 1600, Vale de Cambra",1
"Rua Sanches da Gama, 8, Coimbra, 3030-021","r anchs da gama, 8, Coimbra",1
"Rua Doutor Jorge Augusto Correia, 8A, Cabanas De Tavira, 8800-591","Rua Vasco da Gama, Cabanas De Tavira, 8800-595",0
"Travessa Raúl Brandão, 4, Torreira, 3870-400","Travessa Arrais Francisco Faustino, Torreira, 3870-394",0
"Rua Escolas de Santa Ana, 36, Ribeirão, 4760-726","Rua Escolas de Santa Ana, 36, 4760-726",1
"Rua da Cerca, 112, Olhão, 8700-387","Rua da Cerca, 112, Olhão",1
"Rua Lopo Sancas, 9, Santo Aleixo da Restauração, 7875-181","r lopo sancas, 9, Santo Aleixo da Restauração, 7875-181",1
"Travessa da Hortona, 1, Amieira Cova, 6040-051","Travessa da Hortona, 1, Amieira Cova",1
"Rua de Lisboa, 18A, Cabeção, 7490-082","Rua D, 4, Cabeção, 7490-053",0
"Estrada da Falagueira, 10C, Amadora, 2700-362","Praça da Igreja, 22-A, Amadora, 2700",0
"Caminho Achada, 7, Câmara de Lobos, 9325-060","Caminho Achada, 7, 9325-060",1
"Rua António de Sousa, 9, Coimbra, 3000-052","Rua A, 3, Coimbra, 3030-242",0
"Rua Ramalho Ortigão, 13, Esmoriz","Rua Professor Vitorino Nemésio, 402, Esmoriz",0
"Caminho Cabeco, 21, Calheta, 9370-375","Caminho Cabeço, 27, Calheta, 9370-375",0
"Avenida Sanches de Miranda, 8, Évora, 7005-177","Rua João de Deus, 138/140, Évora",0
"Rua dos Maninhos, 115, Maia, 4470-486","Rua dos Maninhos, 115, Maia",1
"Banda G3, 47, Canal Caveira, 7570-107","Banda G3, 47, Canal Caveira",1
"Porta de São Pedro, 13;13A 13, Elvas, 7350-204","Rua da Porta de São Pedro, 15A, Elvas, 7350-048",0
"Avenida dos Bombeiros Voluntários, Paredes, 4580-053","Avenida da República, 174, Paredes, 4580-193",0
"Rua da Vinha Grande, 39, Landeira, 2965-421","r da vinha grande, 39, Landeira, 2965-421",1
"Rua Norton de Matos, 44, Évora, 7005-563","Rua do Cano, 43, Évora, 7000-596",0
"R Valadares, 122, Várzea Ovelha E Aliviada, 4635-660"," rvaladares, 122, Várzea Ovelha E Aliviada, 4635-660",1
"Rua 5 de Outubro, 37, Vila Real de Santo António, 8900","r  5de outubo, 37, Vila Real de Santo António, 8900",1
"Rua do Forte, 26, Sines, 7520-200","Rua Francisco Luis Lopes, 39, Sines, 7520",0
"Rua do Pinhal, 129, Ponte de Sôr, 7400-247","Rua do Pinhal, 129, Ponte de Sôr",1
"Rua da Mãe d'Água, 51, Lisboa","Rua Professor João Barreira, 1/3, Lisboa, 1600-635",0
"Largo de São Tiago, 20, Estremoz, 7100-511","Largo São Tiago, 17, Estremoz, 7100-535",0
"Estrada de Leiria, n.º148 - Lugar de Barradas, Fátima, 2495-407","Avenida Irmã Lúcia de Jesus, 181, Fátima, 2495-557",0
"Rua das Candeias, 11, Évora, 7005-377","Rua das Candeias, 16, São João de Negrilhos, 7600-418",0
"Largo Governador Aniceto dos Santos (E.R. Atalhada), 62, Lagoa (São Miguel), 9560-410","Largo Governador Aniceto dos Santos (E.R. Atalhada), 62, Lagoa (São Miguel)",1
"Rua José Bernardino, 12, Monte Francisco, 8950-217","Rua José Bernardino, 9, Marinha, 2480-212",0
"Rua Ricardo Espírito Santo, 1A, Lisboa, 1200-790","ura ricadrdo espírito santo, 1A, Lisboa",1
"Rua Doutor Francisco Lázaro Cortes, 11, Faro, 8000-142","Rua Conselheiro Bivar, 23-27, Faro, 8000-255",0
"Rua Imperatriz Dona Amélia, 85, Funchal, 9000-018","Rua do Gorgulho, Funchal, 9000-107",0
"Travessa dos Ferreiros, 10, Cano, 7470-047","Travessa Torta, 13, Cano, 7470-081",0
"Rua da Fonte, 52, Almeirim, 2080-076","foonte da r, 52, Almeirim",1
"Rua das Invasões Francesas, 96, Ribeirão, 4760-411","r das invasõsefrancesas, 96, Ribeirão, 4760-411",1
"Rua 31 de Janeiro, 162, Porto","r de 31 janieiro, 162, Porto",1
"Rua do Outeirinho, 30;32, Castelo de Vide, 7320-127","Rua Bartolomeu Álvares da Santa, 80-82, Castelo de Vide, 7320-117",0
"Rua de Santa Maria, 2;2A, Vila Franca de Xira, 2615-129","Rua dos Combatentes da Grande Guerra, 53, Vila Franca de Xira, 2600-131",0
"Rua Luis de Camões, 18A, Barrancos, 7230-027","r lauis camões de, 18A, Barrancos, 7230-027",1
"Rua dos Capitães, 17, Olhão, 8700-251","Rua dos Capitães, 17, 8700-251",1
"Largo Aldeia Nova, 56, Sousel, 7470-213","Aldeia Nova, 4, Sousel, 7470-229",0
"Rua Maria Lamas, 36, Ferreira do Alentejo, 7900-664","Rua Dr. António José de Almeida, 41, Ferreira do Alentejo",0
"R. Eça de Queiroz, Caneças, 1685-001","Praça Dr. Manuel de Arriaga, 12, Caneças, 1685-585",0
"Rua José Sobral de Almada Negreiros, 26, Santo António dos Cavaleiros, 2660-700","Avenida Luís de Camões, 5, Santo António dos Cavaleiros, 2660-294",0
"Rua da Chainça, 8, Alcobertas, 2040-018","Rua das Casinas, 7, Alcobertas, 2040-015",0
"Vereda Cadeado, 152, Calheta, 9370-167","Vereda Canto Da Levada, 18, Calheta, 9370-171",0
"Estrada Jose Avelino Pinto, 25, Câmara de Lobos, 9300-326","estrada jose avemlino pinto, 25, Câmara de Lobos, 9300-326",1
"Rua do Século, 56A, Rosário, 7250-203","r do sculo, 56A, Rosário, 7250-203",1
"Rua de Abrantes, 54, Tolosa, 6050-515","r deabrantes, 54, Tolosa, 6050-515",1
"Rua do Castelo, 4, Coimbra, 3000-101","Rua António Augusto Gonçalves, Coimbra, 3041-901",0
"Rua de São Miguel, 10, Póvoa de São Miguel, 7885-265","r de são miguel, 10, Póvoa de São Miguel",1
"Rua do Vale Linhoso, 6 A, Charneca de Caparica e Sobreda","Praceta do Vale Linhoso, 2, Charneca de Caparica e Sobreda",0
"Rua Heróis do Ultramar, Marinha Grande, 2430-436","Rua de Leiria, 149, Marinha Grande, 2430-091",0
"Rua Lagar, 6, Caneças, 1685-594","Rua Lagar, 6, Caneças",1
"Rua da Escola, 13, Cabeção, 7490-071","rda escola, 13, Cabeção",1
"Rua dos Montes, 3, Rosário, 7700-235","Rua dos Montes, 3, 7700-235",1
"Rua Júlio Dinis, 15, Cortegaça","Rua Júlio Dinis, 15",1
"Rua República, 9, Cuba, 7940-139","Rua da República, 22, Cuba, 7940-139",0
"Rua Padre João José Tavares, Lagoa (São Miguel), 9560-118","Rua Nossa Senhora das Necessidades (Atalhada), 25, Lagoa (São Miguel), 9560-419",0
"Beco da Porta da Vila, 20, Vila Boim, 7350-501","beco da porta dav ila, 20, Vila Boim, 7350-501",1
"Rua Lúcia Maria Azevedo Enes D'Oliveira, 17, Tolosa, 6050-540","Rua dos Paralelos, 35, Tolosa, 6050-508",0
"Rua Principal, 22, Tramaga, 7400-604","r prncipal, 22, Tramaga",1
"Rua da Feira, 32 A, Elvas, 7350-074","da ru feira, 32 A, Elvas",1
"Rua 25 de Abril, Faro, 8005-446","Largo da Estação dos Caminhos de Ferro, Faro, 8000-133",0
"Rua 1º de Dezembro, 109, Barrancos, 7230-042","Rua 1º de Dezembro, 109, Barrancos",1
"Rua Guerra Junqueiro, 126, Coimbra, 3000-206","r guerra junqueyiro, 126, Coimbra, 3000-206",1
"Rua da Cruz, 9, Flor da Rosa, 7430-216","Rua Dom Nuno Álvares Pereira, 14, Flor da Rosa, 7430-221",0
"Rua da Cruz de Pedra, Guimarães, 4835-042","Circular Urbana de Guimarães\r\nEN 105, Guimarães, 4810-910",0
"Rua Romão Ramalho, 37, Évora, 7000-671","Rua Gabriel Victor do Monte Pereira, 21A, Évora",0
"Rua da Escola Coronel Alexandre Martins Mourão, Ervidel, 7600-210","Rua Escola Coronel Alexandre Martins Mourão, 15, Ervidel, 7600-210",0
"Rua da Restauração, 32, Peniche, 2520-332","Rua da Restauração, 32, Peniche",1
"Largo do Vitorino, 2, Motrinos, 7200-177","largo do ivitorino, 2, Motrinos",1
"Rua do Bocage, 22, Grândola, 7570-231","Rua do Bocage, 22, 7570-231",1
"Rua Dr Juvenal, 20, Funchal, 9060-147","ru dr juvenal, 20, Funchal",1
"Rua de Santa Catarina, 4, Sete, 7780-466","Rua de Santa Catarina, 4, 7780-466",1
"Rua Doutor José Fraústo Basso, 27, Nisa, 6050-384","Rua de Moçambique, 7, Nisa, 6050-375",0
"Rua Professor Sousa da Câmara, 203, Campolide, 1070-216","Rua de Campolide, 28, Campolide, 1070-028",0
"Estrada das Carreiras, 209, Camacha, 9135-350","Rua Das Acácias, 3, Camacha, 9135-050",0
"Rua Olival da Varzinha, 5, Setúbal, 2900-748","Rua Olival da Varzinha, 5, Setúbal",1
"Rua Henrique Galvão, 2, Foros do Arrão, 7425-228","Rua da Constituição 2 de Abril, 2B, Foros do Arrão, 7425-205",0
"Rua Ernesto Sena de Oliveira, 37, Coimbra, 3030-378","Rua Dom Ernesto Sena de Oliveira, 39, Coimbra, 3030-378",0
"Impasse Da Ribeira Chã, 3, Calheta, 9370-572","ER 222 Estrada da Calheta n.º 697, Calheta, 9370-175",0
"Rua Urbanizacao, 203, Soalhães, 4630-634","Rua Urbanizacao, 51, Marco De Canaveses, 4630-078",0
"Caminho da Penteada, LJ 8, Funchal, 9020-396","Caminho da Penteada, 18C, São Roque, 9020-105",0
"Rua José Maria da Costa, Fontelas, 230-578","Rua José Maria da Costa, 4, Figueira Da Foz, 3080-507",0
