address_1,address_2,label,similarity,predicted
"Rua de Cândido dos Reis, 36, Porto, 4050-151","Rua Cândido dos Reis, 81, Porto, 4050-152",0,1.0,1
"Rua Geraldo e Casquinha, 15, Setúbal, 2910-292","gerado r e casquinha, 15, Setúbal, 2910-292",1,0.3333333333333333,0
"Cam Rosso, Vila Boa Do Bispo, 4625-712","Cam Quebrada De Cima, 183, Vila Boa Do Bispo, 4625-617",0,0.6,1
"Estrada das Apolinárias, Beja, 7800-050","Estrada das Apolinarias, Beja, 7800-050",0,1.0,1
"Rua Joao Deus, 17, Castro Verde, 7780-195","Rua João de Deus, 7, Castro Verde, 7780-195",0,1.0,1
"Rua dos Ferragiais, 13, Alter do Chão, 7440-088","Rua do Mártir, 19, Alter do Chão, 7440-071",0,0.5,1
"Rua Sanches da Gama, 8, Coimbra, 3030-021","r anchs da gama, 8, Coimbra",1,0.3333333333333333,0
"Rua de Lisboa, 18A, Cabeção, 7490-082","Rua D, 4, Cabeção, 7490-053",0,1.0,1
"Caminho Cabeco, 21, Calheta, 9370-375","Caminho Cabeço, 27, Calheta, 9370-375",0,1.0,1
"Porta de São Pedro, 13;13A 13, Elvas, 7350-204","Rua da Porta de São Pedro, 15A, Elvas, 7350-048",0,1.0,1
"Largo de São Tiago, 20, Estremoz, 7100-511","Largo São Tiago, 17, Estremoz, 7100-535",0,1.0,1
"Rua Ricardo Espírito Santo, 1A, Lisboa, 1200-790","ura ricadrdo espírito santo, 1A, Lisboa",1,0.4,0
"Travessa dos Ferreiros, 10, Cano, 7470-047","Travessa Torta, 13, Cano, 7470-081",0,0.5,1
"Largo Aldeia Nova, 56, Sousel, 7470-213","Aldeia Nova, 4, Sousel, 7470-229",0,1.0,1
"Rua do Século, 56A, Rosário, 7250-203","r do sculo, 56A, Rosário, 7250-203",1,0.3333333333333333,0
"Rua de Abrantes, 54, Tolosa, 6050-515","r deabrantes, 54, Tolosa, 6050-515",1,0.3333333333333333,0
"Rua do Vale Linhoso, 6 A, Charneca de Caparica e Sobreda","Praceta do Vale Linhoso, 2, Charneca de Caparica e Sobreda",0,0.8333333333333334,1
"Rua Heróis do Ultramar, Marinha Grande, 2430-436","Rua de Leiria, 149, Marinha Grande, 2430-091",0,0.5,1
"Rua República, 9, Cuba, 7940-139","Rua da República, 22, Cuba, 7940-139",0,1.0,1
"Rua da Escola Coronel Alexandre Martins Mourão, Ervidel, 7600-210","Rua Escola Coronel Alexandre Martins Mourão, 15, Ervidel, 7600-210",0,1.0,1
"Largo do Vitorino, 2, Motrinos, 7200-177","largo do ivitorino, 2, Motrinos",1,0.3333333333333333,0
"Rua Ernesto Sena de Oliveira, 37, Coimbra, 3030-378","Rua Dom Ernesto Sena de Oliveira, 39, Coimbra, 3030-378",0,0.75,1
"Rua José Maria da Costa, Fontelas, 230-578","Rua José Maria da Costa, 4, Figueira Da Foz, 3080-507",0,0.5,1
"Largo Santo António, 13, Pias, 7830-206","Largo de Santo António, 20, Pias, 7830-206",0,1.0,1
"Rua do Algaz, 6, Carregueira, 2140-666","Rua D, 49, Carregueira, 2140-670",0,0.5,1
"Ramp Monte De Vila, 145, Favões, 4625-073","R Monte De Vila, 7, Favões, 4625-117",0,0.6666666666666666,1
"EN 260, 5, Vila Verde de Ficalho, 7830-644","Estrada Nacional 260, Vila Verde de Ficalho, 7830-644",0,0.6666666666666666,1
"Rua do Calvário, 5, Santo Aleixo da Restauração, 7875-172","Rua Nova, 14, Santo Aleixo da Restauração",0,0.6,1
"Rua Nova Do Castelinho, 95, Avessadas, 4630-006","Travessa Nova Do Castelinho, 63, Avessadas, 4630-007",0,0.75,1
"Rua de Serpa, 11, Vales Mortos, 7830-497","Rua de Serpa, 11, 7830-497",1,0.3333333333333333,0
"Vereda Canarios, 4, Câmara de Lobos, 9325-097","Vereda Canários, 11, Câmara de Lobos, 9325-006",0,1.0,1
"Caminho Lombo Da Rocha, 87, Calheta, 9370-612","Caminho Lombo Rocha, 96, Calheta, 9370-612",0,1.0,1
"Rua Jose Joaquim Costa Cci, CCI 401, Câmara de Lobos, 9325-100","Rua José Joaquim Costa, 39I, Câmara de Lobos, 9325-100",0,0.8333333333333334,1
"Largo de São José, 6, Santo António do Baldio, 7200-082","Rua Bairro de Santo António, 11, Santo António do Baldio, 7200-082",0,0.5,1
"Rua Luis de Camões, 16, Faro, 8000","Rua Luís de Camões, Faro, 8004-014",0,1.0,1
"Rua Direita, 150, Benfica do Ribatejo, 2080-329","ura direia, 150, Benfica do Ribatejo, 2080-329",1,0.4,0
"Vereda Pomar Meio, 9, Câmara de Lobos, 9325-353","Vereda Pomar Do Meio, 5, Câmara de Lobos, 9325-353",0,1.0,1
"Rua Alegria, 6, Câmara de Lobos, 9300-392","Rua Alegria, 6, 9300-392",1,0.3333333333333333,0
"Rua Vasco Da Gama, Semblana, 7700-272","Rua Vasco Da Gama, 6, Alcaçovas, 7090-065",0,0.5,1
"Avenida Amparo Conj Habit Do Amparo, 157, Funchal, 9000-783","Avenida Amparo, 16, Funchal, 9000-783",0,0.5,1
"Entrada N 1 Da Estrada José Ângelo Pestana De Barros, 5, Câmara de Lobos, 9325-052","Entrada N 4 Da Estrada José Ângelo Pestana De Barros, 82, Câmara de Lobos, 9325-052",0,1.0,1
"Rua dos Restauradores, 10, Rio Maior, 2040-091","Rua da Aberta, 6, Rio Maior, 2040-061",0,0.5,1
"Rua 5 de Outubro, 39-B, Vila Real de Santo António, 8900","Rua 5 de Outubro, 39-B, 8900",1,0.3333333333333333,0
"Rua 1 Br Da Portela, 7, Marco De Canaveses, 4630-210","r da brz 1 pxortela, 7, Marco De Canaveses",1,0.4,0
"Loteam Lages, Vila Boa Do Bispo, 4625-596","Lages, Vila Boa Do Bispo, 4625-596",0,0.75,1
"R 29 Agosto 1984, 1984, Folhada, 4635-163","R 29 Agosto, Folhada, 4635-163",0,1.0,1
"Rua da Escola Nova, Valverde, 6230-804","r da esoclanova, Valverde",1,0.25,0
"Rua do Castelo, 6, Nossa Senhora da Graça de Póvoa e Meadas, 7320-011","Rua do Castelo, 6, 7320-011",1,0.0,0
"Rua Carlos Alberto Pinto de Abreu, 33, Coimbra, 3040-245","r acrlos albeto pinto de abreu, 33, Coimbra, 3040-245",1,0.3333333333333333,0
"Impasse Urbanização Do Pedregal, 2, Câmara de Lobos, 9300-432","Impasse Urbanizacao Pedregal, 6, Câmara de Lobos, 9300-432",0,1.0,1
"Rua Tapada da Eira, 5, Azaruja, 7005-126","Praça Tapada da Eira, 8, Azaruja, 7005-126",0,1.0,1
"Largo Porta Nova, 3, Alvito, 7920-017","Largo da Porta Nova, 1, Alvito, 7920-017",0,1.0,1
"R Poca Sino, SEM NUMERO, Penha Longa, 4625-358","R Poca Do Sino, 197, Penha Longa, 4625-358",0,1.0,1
"Rua do Montinho, 23, Vimieiro, 7040-647","Rua Nova do Montinho, 6, Vimieiro, 7040-664",0,0.6666666666666666,1
"Rua Joao Deus, 22, Serpa, 7830-456","Rua João de Deus, 36, Serpa, 7830-456",0,1.0,1
"Rua Antonio Procoro Macedo Junior g, G, Câmara de Lobos, 9325-018","Rua Antonio Procoro Macedo Junior j, J, Câmara de Lobos, 9325-018",0,1.0,1
"Rua Guilhermina Suggia, 216, São João da Madeira, 3700-134","Rua da Madeira, 550, São João da Madeira, 3700-176",0,0.6,1
"Rua 1º de Janeiro, 28, Olhão, 8700-512","Rua 31 de Janeiro, 35, Olhão, 8700-521",0,1.0,1
"Rua Comandante Henrique de Brito, 43, Tavira, 8800-328","Rua Comandante Henrique de Brito, 9, Cabanas De Tavira, 8800-591",0,0.8,1
"Travessa Lagar, 8, Câmara de Lobos, 9300-236","Travessa Lagar Da Giesta, Câmara de Lobos, 9300-088",0,0.8,1
"Cc Bouca Da Carreira, 17, Sande Mcn, 4625-420","R Bouca Da Carreira, 148, Sande Mcn, 4625-420",0,1.0,1
"Rua do Rossio, 20, Pias, 7830-261","Rua do Rossio da Estação, 35, Pias, 7830-261",0,0.6666666666666666,1
"Rua Doutor Alberto Cruz, 41, Braga, 4710-375","Rua Doutor Alberto Cruz, 13, Ponte da Barca, 4980-629",0,0.6,1
"Rua Edifício Girassol, 27, Moura, 7860-357","Rua do Girassol, 29, Moura, 7860-357",0,0.6666666666666666,1
"Rua de São João, Ribeirão, 4760-721","Rua São João, 79, Ribeirão, 4760-721",0,1.0,1
"Bairro das Ferrarias, 2, Portagem, 7330-328","Bairro Novo, 42, Portagem, 7330-328",0,0.5,1
"Estrada Jose Avelino Pinto, 7, Câmara de Lobos, 9325-049","Estrada José Avelino Pinto, Câmara de Lobos, 9304-007",0,1.0,1
"Travessa das Águas Férreas de Campanhã, 463, Porto, 4300-015","Rua das Águas Férreas de Campanhã, 1, Porto, 4300-013",0,0.75,1
"Rua Tunel Do Juncal, 820, Paredes De Viadores, 4630-566","R Tunel Do Juncal, 21, Paredes De Viadores, 4630-566",0,1.0,1
"Rua Luis Inacio Paiva, 24, Alcaçovas, 7090-061","Rua Luis Inácio Paiva, 46, Alcaçovas, 7090-061",0,1.0,1
"Escadinhas do Adro, 16, Galveias, 7400-020","escadinhas dod aro, 16, Galveias",1,0.4,0
"Rua Do Barreiro, 13/15, Chamusca, 2140-099","r do barreikro, 13/15, Chamusca, 2140-099",1,0.3333333333333333,0
"Rua da Silva, 47-49, Lisboa","Rua João da Silva, 16, Lisboa, 1900-271",0,0.5,1
"Travessa Pequena, 1, Mora, 7490-256","Travessa Pequena, 4, Terrugem, 7350-491",0,0.5,1
"Rua dos Valinhos, 2, Vila Verde de Ficalho, 7830-658","Rua dos Valinhos, 2, 7830-658",1,0.3333333333333333,0
"Rua Amoreira, 14, Funchal, 9000-001","Rua da Amoreira, 20, Funchal",0,1.0,1
"Rua da Serra - EM 574, 12, Sobral da Lagoa, 2510-651","Rua da Serra, 21, Sobral da Lagoa, 2510-651",0,1.0,1
"Rua das Cucanhas, Salir de Matos, 2500","Rua da Paz, Salir de Matos, 2500-217",0,0.5,1
"Rua B, 14, Horta (Angústias), 9900-046","Rua B, 14, 9900-046",1,0.0,0
"Rua Nova Santo António, 1, Brinches, 7830-145","Rua Nova de Santo António, Brinches, 7830-145",0,1.0,1
"Rua de Borges Carneiro, 42, Lisboa","Rua Borges Carneiro, 65, Lisboa, 1200-662",0,1.0,1
"Passeio do Mergulhão, Vila Nova de Santo André, 7500-190","Rua do Monte, 25, Vila Nova de Santo André, 7500-110",0,0.5,1
"Rua Nossa Senhora da Mão Poderosa, 267, Ermesinde, 4445–522","Ra Nossa Senhora da Mão Poderosa, 220, Ermesinde, 4445-416",0,1.0,1
"Rua do Cruzeiro, 784, Vila Real, 5000-761","r do crueiro, 784, Vila Real, 5000-761",1,0.0,0
"Rua António Maria Casquinha, 11, Aguiar, 7090-410","Rua António Casquinha, 3, Aguiar, 7090-420",0,0.75,1
"Bairro de São Pedro, 20, Reguengos de Monsaraz, 7200-253","Bairro de São Pedro, 4, Fronteira, 7460-102",0,0.5,1
"Vereda Ribeiro Do Furado, 16, Câmara de Lobos, 9030-347","Vereda Ribeiro Furado, 5, Câmara de Lobos, 9030-347",0,1.0,1
"Rua Central da Mesura, 35, Coimbra, 3040-197","Rua Central, Coimbra, 3045-040",0,0.5,1
"Rua Tapadinha De Lardosa, 66, Soalhães, 4630-656","Rua Tapadinha, 325, Soalhães, 4630-755",0,0.6666666666666666,1
"Cam Souto, 266, Vila Boa De Quires, 4635-757","Cam Fontenario, 30, Vila Boa De Quires, 4635-751",0,0.6,1
"Rua do Ribeiro, 14, Évora, 7005-441","r do ikbeiro, 14, Évora",1,0.0,0
"Rua Dr Manuel Germano Goncalves, 148, Calheta, 9370-242","Rua Dr Manuel Germano Gonçalves, 109, Calheta, 9370-242",0,1.0,1
"Quinta da Fonte, 33, Oeiras","Rua da Quinta das Palmeiras, Oeiras, 2780",0,0.5,1
"Rua da Liberdade, 14, Nossa Senhora da Graça de Divor, 7000-019","Rua da Liberdade, 14, 7000-019",1,0.2,0
"Rua Bela Vista da Lapa, 64, Lisboa","Rua da Bela Vista à Lapa, 9, Lisboa",0,1.0,1
"Vereda Ingles, 13, Câmara de Lobos, 9325-233","Vereda Levada Do Norte, 90 A, Câmara de Lobos, 9325-090",0,0.5,1
"Caminho Do Terço Entrada 10a, A, Câmara de Lobos, 9300-158","Caminho Do Terço, 62, Câmara de Lobos, 9300-158",0,0.8,1
"Rua 3 - Bairro da Boavista, 1, Lisboa","Rua 4 - Bairro da Boavista, Lisboa, 1500-524",0,1.0,1
"Rua Galeria de Paris, 80, Porto, 4050-284","Rua da Galeria de Paris, 28, Porto",0,1.0,1
"Rua Doutor Mário Sacramento, Aveiro, 3810-106","Rua Doutor Mário Sacramento, Ovar, 3880-783",0,0.75,1
"Rua Alberto Caeiro, 74, Grândola, 7570-192","Rua Alberto Caeiro, 4, Évora, 7000-409",0,0.6666666666666666,1
"Rua de Alvito, 23, São Bartolomeu do Outeiro, 7220-532","Rua C Br Das Amoreiras, 1, São Bartolomeu do Outeiro, 7220-522",0,0.6,1
"Rua Fonte do Monte da Ordem, 3, Fortios, 7300-682","Rua do Monte da Ordem, 12, Fortios, 7300-673",0,0.75,1
"Travessa Serrado, 5, Câmara de Lobos, 9300-010","Travessa Fonte Da Saraiva, SA, Câmara de Lobos, 9300-063",0,0.5,1
"Caminho da Maceda, 9, Murtosa, 3870-238","Caminho Maceda, 11, Murtosa, 3870-238",0,1.0,1
"Rua Doutor Jeremias Toscano, 19, Bencatel, 7160-010","eremais doutorj r toscano, 19, Bencatel, 7160-010",1,0.3333333333333333,0
"Avenida Doutor Miguel Bombarda, 53, Lisboa","Avenida Miguel Bombarda, 36 B, Lisboa, 1050-165",0,0.6666666666666666,1
"Rua Padre António Vieira, 3, Santo António dos Cavaleiros, 2660-294","Rua Padre António Vieira, 25, Loures, 2670-410",0,0.5,1
"Largo 25 de Abril, 7, São Manços, 7005-722","Rua de Évora, 7, São Manços, 7005-736",0,0.6666666666666666,1
"Rua Cons José Fernando Sousa, 17, Viana do Alentejo, 7090-239","Rua Cons Fernando de Sousa, 33, Viana do Alentejo, 7090-239",0,0.8,1
"Rua Sidónio Pais, 35, Pias, 7830-265","Rua Sidonio Pais, 47, Pias, 7830-265",0,1.0,1
"Estrada Nacional 246-2, 37, Reguengo, 7300-404","estrada nacionazl 246-2, 37, Reguengo",1,0.3333333333333333,0
"Rua Carchana, 5, Monte do Trigo, 7220-221","Rua Carchana, 5, 7220-221",1,0.3333333333333333,0
"Rua Nova de São Brás, 31, Messejana, 7600-346","Rua Nova, 1, Messejana, 7600-301",0,0.5,1
"Rua da Nascente, 10, Mina de São Domingos, 7750-159","Rua Chanca, 27, Mina de São Domingos, 7750-143",0,0.6,1
"Rua Campo, 38, Soalhães, 4630-633","Rua Campo Novo, 1057, Soalhães, 4630-634",0,0.6666666666666666,1
"R Corredoura, 77, Sande Mcn, 4625-431","R Agrela, Sande Mcn, 4625-403",0,0.5,1
"Rua Lavadinha, 582, Tabuado, 4635-416","Rua Levadinha, 978, Tabuado, 4635-449",0,1.0,1
"Rua Rosa Araújo, 4-10, Lisboa, 1250-195","R. Rosa Araújo, 47A, Lisboa, 1250-096",0,1.0,1
"Rua Monte Valongo, 235, Marco De Canaveses, 4630-268","Rua Monte, 175, Marco De Canaveses, 4630-392",0,0.75,1
"Rua Casa do Povo, 12, Fiães, 4505-275","Rua Casa do Povo, 10, Lavre, 7050-467",0,0.5,1
"Rua de Santo Estêvão, 6, Tavira, 8800-386","Rua de Santo Estêvão, 3, Lisboa",0,0.6666666666666666,1
"R Azenha;R D Antonio Jose Da Rocha Couto, 35;33;1983, Vila Boa Do Bispo, 4625-648;4625-640","R D Antonio Jose Rocha Couto, 352 2, Vila Boa Do Bispo, 4625-640",0,0.8571428571428571,1
"Rua Janeiro, 102, Santa Cruz, 9100-208","Rua Nova Janeiro, 10 C, Santa Cruz, 9100-209",0,0.75,1
"Rua da Liberdade, 4, Sobral da Adiça, 7875-359","Rua da Liberdade, 4, 7875-359",1,0.3333333333333333,0
"Cam Moirinte, 209, Várzea Do Douro, 4575-447","R Moirinte, 31, Várzea Do Douro, 4575-435",0,0.75,1
"Estrada Nacional 244, 58, Escusa, 7400-453","estrada naionasl 244, 58, Escusa",1,0.3333333333333333,0
"Rua Barracas Da Caseta, 19, Mina de São Domingos, 7750-133","Rua Chanca, 27, Mina de São Domingos, 7750-143",0,0.5,1
"Rua da Associação dos Amigos da Quinta do Património, Sacavém, 2685","r da associação dos amigso da quinta atrimónio do, Sacavém, 2685",1,0.42857142857142855,0
"Travessa Carmo, 50, Cuba, 7940-183","Travessa Do Carmo, 90, Cuba, 7940-183",0,1.0,1
"Rua Carlos Seixas, 279, Coimbra, 3030-177","r fcarlobs seixas, 279, Coimbra, 3030-177",1,0.3333333333333333,0
"Manhuncelos, Manhuncelos, 4630-160","Rua Manhuncelos, 52, Manhuncelos, 4630-168",0,1.0,1
"Rua do Pinhal, Casal da Ponte, 2460","Rua dos Descobrimentos, Casal da Ponte, 2460",0,0.5,1
"Estrada Nacional 2, 2, Ponte de Sôr, 7400-118","Estrada Nacional 244, Ponte de Sôr, 7400-114",0,1.0,1
"Rua da Fonte, 16, Comenda, 6040-041","Rua da Fonte da Poça, 14, Comenda, 6040-041",0,0.6666666666666666,1
"Rua Grupo Cultural E Desportivo De Gouveia, 31, Várzea Ovelha E Aliviada, 4635-598","Rua Gouveia, 894, Várzea Ovelha E Aliviada, 4635-598",0,0.5714285714285714,1
"Rua do Outeiro, 44, Santo Amador, 7875-259","Rua do Outeiro, 44, 7875-259",1,0.3333333333333333,0
"Rua das Violetas, 68, Vila Nova de Santo André, 7500-130","Rua das Violetas, 68, 7500-130",1,0.25,0
"Caminho Cabouco, 29, Câmara de Lobos, 9325-051","Caminho Lombo Cabouco, 10, Câmara de Lobos, 9325-051",0,0.8,1
"Estrada da Barragem do Divor, Igrejinha, 7040-280","Estrada Barragem do Divor, 104, Igrejinha, 7040-280",0,1.0,1
"Rua Camilo Castelo Branco, 25, São Bartolomeu da Serra, 7540-321","Rua da Liberdade, 21, São Bartolomeu da Serra, 7540-321",0,0.5,1
"Rua Maestro Frederico de Freitas, 1, Lisboa, 1500-159","R. Maestro Frederico de Freitas, Lisboa, 1500-400",0,1.0,1
"Travessa da Feira, 9, Tavira, 8800-709","Travessa da Feira, 48, Olhão, 8700-528",0,0.5,1
"Rua Marchal Humberto Delgado, 87, Fradelos, 4760-485","Rua Marechal Humberto Delgado, 128, Fradelos, 4760-485",0,1.0,1
"Avenida Luís Chaves, 24, Chaves, 5400-361","Avenida de Luís Chaves, 86, Chaves, 5400-361",0,1.0,1
"Largo de São Domingos, 6, Elvas, 7350-014","Largo de São Domingos, 126, São Domingos de Rana, 2785-595",0,0.5,1
"Rua Cidade de Haia, I-62, Olhão, 8700-278","Rua Cidade de Paris, I-2, Olhão, 8700-278",0,0.5,1
"Caminho dos Caseiros, 3, Murtosa, 3870-233","Caminho do Ameiro, 8, Murtosa, 3870-168",0,0.5,1
"Caminho Lombo, 71, Funchal, 9050-285","Caminho Eira Lombo, 62, Funchal, 9050-468",0,0.75,1
"Rua da Portela, 30, Figueiró da Serra, 6290-071","Avenida da Corredoura, 182, Figueiró da Serra, 6290-071",0,0.5,1
"Rua da Quintinha, 30, Ulme, 2140-371","r dta quintlinha, 30, Ulme, 2140-371",1,0.25,0
"Rua da Abegoaria, 76, Pedro Miguel, 9900-439","Rua da Abegoaria, 76, 9900-439",1,0.3333333333333333,0
"Rua Tomás Da Fonseca, Centro Empresarial Torres De Lisboa, Torre G 8.º,, Lisboa, 1600-209","Centro Empresarial Torres de Lisboa, Rua Tomás da Fonseca, Torre G,, Lisboa, 1600-209",0,1.0,1
"Rua Principal, 68, Forno da Cal, 7580-069","Rua Principal, 68, 7580-069",1,0.3333333333333333,0
"CM 1328, 1, Moncarapacho, 8700-128","CM 1325, Moncarapacho, 8700-077",0,1.0,1
"Rua da Seara de Mosteirô, 165, Vila Real, 5000-036","r das eara de mosteriô, 165, Vila Real",1,0.3333333333333333,0
"Travessa da Canada, 1, Oriola, 7220-301","Travessa da Cancela, 38, Oriola, 7220-301",0,0.5,1
"Rua do Poço Abaixo, 4, Pedrogão, 7960-045","Rua do Poço, 3, Pedrogão, 7960-044",0,0.6666666666666666,1
"Praceta Emiliano da Costa, LT 166, Olhão, 8700-147","Rua Emiliano da Costa, LT 150, Olhão, 8700-147",0,0.75,1
"Travessa Levada Saraiva, 8, Câmara de Lobos, 9325-340","Travessa Saraiva, 10, Câmara de Lobos, 9300-154",0,0.8,1
"Rua da Capela Poente, 1, Vila Real, 5000-440","Rua da Capela de Ponte, 102, Vila Real, 5000-355",0,1.0,1
"Rua da Sardoa, 27, Garvão, 7670-132","r das ardoa, 27, Garvão",1,0.3333333333333333,0
"Rua Dom Pedro V, Lote 7, Coimbra, 3030-386","Rua Dom Pedro V, 171, Porto, 4150-603",0,0.6666666666666666,1
"Rua Doutor Vitorino de Sá, 24, Santa Maria da Feira","Rua Doutor Vitorino de Sá, 24",1,0.4,0
"Rua Professor Rui Luís Gomes, 116, Montijo, 2870-359","Rua Professor Rui Luís Gomes, 5G, Tapada das Mercês, 2725-555",0,0.5714285714285714,1
"Rua dos Bombeiros, 1, Aljustrel, 7600-026","Rua de Beja, Aljustrel, 7600-073",0,0.5,1
"Rua das Forças Armadas, 34, Corte Vicente Anes, 7600-161","Rua Forças Armadas, 22, Corte Vicente Anes, 7600-161",0,1.0,1
"Rua B, 4, Campo Maior, 7370","Rua Bartolomeu Joannes, 7, Campo Maior, 7370-124",0,0.5,1
"Avenida General Eduardo Galhardo, 80, Parede, 2775","Praceta General Eduardo Galhardo, 104, Parede, 2775",0,0.8,1
"Rua Hipólito Camilo, 7, Gavião, 6040-122","r hipóito amilo, 7, Gavião, 6040-122",1,0.2,0
"Rua das Mercês, 25, Funchal, 9000-224","Rua das Mercês, 41, Funchal, 9000-224",0,1.0,1
"Travessa Rua Nova, 15, Monte do Trigo, 7220-245","Rua Nova, 16, Monte do Trigo, 7220-240",0,0.75,1
"Rua Fernão Lopes, 25, Lisboa, 1000-132","Rua Fernão Lopes Castanhede, 7, Lisboa, 1400-144",0,0.6666666666666666,1
"Rua dos Celeiros, 10, Ourique Gare, 7780-030","Rua do Poço, 2, Ourique Gare, 7780-030",0,0.5,1
"Rua 5 de Outubro, 48, Portalegre, 7300-133","r 5 deo utwubro, 48, Portalegre",1,0.0,0
"R S Sebastião, 117, Alpendurada E Matos, 4575-018","R S Sebastiao, 43, Alpendurada E Matos, 4575-018",0,1.0,1
"R Cancela, 65, Penha Longa, 4625-307","R Cancela, 65, 4625-307",1,0.3333333333333333,0
"Rua Almodovar, 28, Santa Clara-A-Nova, 7700-240","Rua da Estrada Municipal, 7, Santa Clara-A-Nova, 7700-240",0,0.5,1
"Rua de Aleixo da Mota, 86 B, Porto","Rua de Aleixo Mota, Porto, 4150-044",0,1.0,1
"R Tapado, 137, Paços De Gaiolo, 4625-280","R Pacos De Gaiolo, Paços De Gaiolo, 4625-250",0,0.6666666666666666,1
